order_id,order_date,channel,payment_method,items_count,order_value
RO-3000,2024-02-01,store,wallet,1,35.22
RO-3001,2024-02-03,phone,cash,2,39.99
RO-3002,2024-02-05,online,card,3,77.2
RO-3003,2024-02-07,store,wallet,4,66.85
RO-3004,2024-02-09,phone,cash,5,120.95
RO-3005,2024-02-11,online,card,6,95.49
RO-3006,2024-02-13,store,wallet,7,166.47
RO-3007,2024-02-15,phone,cash,8,104.2
RO-3008,2024-02-17,online,card,1,40.1
RO-3009,2024-02-19,store,wallet,2,46.64
RO-3010,2024-02-21,phone,cash,3,85.62
RO-3011,2024-02-23,online,card,4,77.05
RO-3012,2024-02-25,store,wallet,5,132.92
RO-3013,2024-02-27,phone,cash,6,109.24
RO-3014,2024-02-29,online,card,7,160.3
RO-3015,2024-03-02,store,wallet,8,121.5
RO-3016,2024-03-04,phone,cash,1,44.97
RO-3017,2024-03-06,online,card,2,53.29
RO-3018,2024-03-08,store,wallet,3,94.05
RO-3019,2024-03-10,phone,cash,4,87.25
RO-3020,2024-03-12,online,card,5,144.89
RO-3021,2024-03-14,store,wallet,6,101.28
RO-3022,2024-03-16,phone,cash,7,175.82
RO-3023,2024-03-18,online,card,8,138.8
RO-3024,2024-03-20,store,wallet,1,49.85
RO-3025,2024-03-22,phone,cash,2,59.94
RO-3026,2024-03-24,online,card,3,102.47
RO-3027,2024-03-26,store,wallet,4,97.45
RO-3028,2024-03-28,phone,cash,5,135.17
RO-3029,2024-03-30,online,card,6,115.03
RO-3030,2024-04-01,store,wallet,7,191.34
RO-3031,2024-04-03,phone,cash,8,156.09
RO-3032,2024-04-05,online,card,1,54.72
RO-3033,2024-04-07,store,wallet,2,66.59
RO-3034,2024-04-09,phone,cash,3,110.89
RO-3035,2024-04-11,online,card,4,85.95
RO-3036,2024-04-13,store,wallet,5,67.14
RO-3037,2024-04-15,phone,cash,6,128.78
RO-3038,2024-04-17,online,card,7,94.86
RO-3039,2024-04-19,store,wallet,8,173.39
RO-3040,2024-04-21,phone,cash,1,43.6
RO-3041,2024-04-23,online,card,2,73.23
RO-3042,2024-04-25,store,wallet,3,49.62
RO-3043,2024-04-27,phone,cash,4,96.14
RO-3044,2024-04-29,online,card,5,79.11
RO-3045,2024-05-01,store,wallet,6,142.53
RO-3046,2024-05-03,phone,cash,7,110.39
RO-3047,2024-05-05,online,card,8,190.69
RO-3048,2024-05-07,store,wallet,1,48.47
RO-3049,2024-05-09,phone,cash,2,58.18
RO-3050,2024-05-11,online,card,3,58.04
RO-3051,2024-05-13,store,wallet,4,106.34
RO-3052,2024-05-15,phone,cash,5,91.09
RO-3053,2024-05-17,online,card,6,156.28
RO-3054,2024-05-19,store,wallet,7,125.91
RO-3055,2024-05-21,phone,cash,8,207.98
RO-3056,2024-05-23,online,card,1,31.64
RO-3057,2024-05-25,store,wallet,2,64.83
RO-3058,2024-05-27,phone,cash,3,66.47
RO-3059,2024-05-29,online,card,4,116.54
RO-3060,2024-05-31,store,wallet,5,103.06
RO-3061,2024-06-02,phone,cash,6,170.02
RO-3062,2024-06-04,online,card,7,141.43
RO-3063,2024-06-06,store,wallet,8,203.58
RO-3064,2024-06-08,phone,cash,1,36.52
RO-3065,2024-06-10,online,card,2,71.48
RO-3066,2024-06-12,store,wallet,3,74.89
RO-3067,2024-06-14,phone,cash,4,126.74
RO-3068,2024-06-16,online,card,5,115.03
RO-3069,2024-06-18,store,wallet,6,183.77
RO-3070,2024-06-20,phone,cash,7,135.25
RO-3071,2024-06-22,online,card,8,220.88
RO-3072,2024-06-24,store,wallet,1,41.39
RO-3073,2024-06-26,phone,cash,2,46.13
RO-3074,2024-06-28,online,card,3,83.31
RO-3075,2024-06-30,store,wallet,4,72.94
RO-3076,2024-07-02,phone,cash,5,127.01
RO-3077,2024-07-04,online,card,6,79.82
RO-3078,2024-07-06,store,wallet,7,150.78
RO-3079,2024-07-08,phone,cash,8,110.18
RO-3080,2024-07-10,online,card,1,46.27
RO-3081,2024-07-12,store,wallet,2,52.78
RO-3082,2024-07-14,phone,cash,3,91.74
RO-3083,2024-07-16,online,card,4,83.14
RO-3084,2024-07-18,store,wallet,5,117.28
RO-3085,2024-07-20,phone,cash,6,93.57
RO-3086,2024-07-22,online,card,7,166.3
RO-3087,2024-07-24,store,wallet,8,127.47
RO-3088,2024-07-26,phone,cash,1,51.14
RO-3089,2024-07-28,online,card,2,59.43
RO-3090,2024-07-30,store,wallet,3,100.16
RO-3091,2024-08-01,phone,cash,4,71.64
RO-3092,2024-08-03,online,card,5,129.25
RO-3093,2024-08-05,store,wallet,6,107.32
RO-3094,2024-08-07,phone,cash,7,181.82
RO-3095,2024-08-09,online,card,8,144.77
RO-3096,2024-08-11,store,wallet,1,56.02
RO-3097,2024-08-13,phone,cash,2,66.08
RO-3098,2024-08-15,online,card,3,86.88
RO-3099,2024-08-17,store,wallet,4,81.83
